true_label,predicted_label,true_label_name,predicted_label_name,is_correct,confidence,predicted_class_prob,prob_Classical,prob_Mesenchymal,prob_Neural,prob_Proneural,dna_feature_0,dna_feature_1,dna_feature_2,dna_feature_3,dna_feature_4,rna_feature_0,rna_feature_1,rna_feature_2,rna_feature_3,rna_feature_4
2,2,Neural,Neural,True,0.72604555,0.72604555,0.051669832,0.028749892,0.72604555,0.1935347,-1.8182448,-1.8182448,-1.8182448,-1.8182448,-1.8182448,-1.9165632,-0.017361674,-0.17526746,-0.02307621,2.1506877
1,1,Mesenchymal,Mesenchymal,True,0.44406414,0.44406414,0.40855694,0.44406414,0.07796717,0.06941172,1.5004933,1.5004933,1.5004933,1.5004933,1.5004933,2.3434622,0.7252397,-0.17526746,-0.83328146,-0.01124728
3,2,Proneural,Neural,False,0.3601778,0.3601778,0.22251669,0.20288211,0.3601778,0.21442336,-1.8182448,-1.8182448,-1.8182448,-1.8182448,-1.8182448,-2.3862364,0.23841122,-0.17526746,1.0949517,-0.06990342
0,0,Classical,Classical,True,0.67254734,0.67254734,0.67254734,0.093179815,0.10829673,0.12597613,-0.15887576,-0.15887576,-0.15887576,-0.15887576,-0.15887576,-0.8905546,-2.1894662,-0.17526746,1.387778,-0.40489513
3,3,Proneural,Proneural,True,0.7179196,0.7179196,0.032209028,0.14283438,0.107037,0.7179196,-0.15887576,-0.15887576,-0.15887576,-0.15887576,-0.15887576,-1.4954884,0.3317561,-0.17526746,0.045591943,0.8761549
1,1,Mesenchymal,Mesenchymal,True,0.53342456,0.53342456,0.09357508,0.53342456,0.21382481,0.1591755,-0.15887576,-0.15887576,-0.15887576,-0.15887576,-0.15887576,-0.6353269,-1.2380208,-0.17526746,0.24686065,-0.25395334
1,1,Mesenchymal,Mesenchymal,True,0.5415665,0.5415665,0.11423403,0.5415665,0.19538192,0.14881754,-0.15887576,-0.15887576,-0.15887576,-0.15887576,-0.15887576,-0.22359811,0.9991234,-0.17526746,-0.12844631,0.19939342
1,1,Mesenchymal,Mesenchymal,True,0.47849223,0.47849223,0.32650512,0.47849223,0.07701579,0.11798687,-0.15887576,-0.15887576,-0.15887576,-0.15887576,-0.15887576,-1.1882637,-1.1986098,-0.17526746,-1.2977781,1.3443612
2,2,Neural,Neural,True,0.35354018,0.35354018,0.063941196,0.275223,0.35354018,0.3072956,1.5004933,1.5004933,1.5004933,1.5004933,1.5004933,0.03740705,-2.2563283,-0.17526746,-2.5783997,1.518244
2,2,Neural,Neural,True,0.45084575,0.45084575,0.14652316,0.26588494,0.45084575,0.1367462,-0.15887576,-0.15887576,-0.15887576,-0.15887576,-0.15887576,-0.9099261,-0.019639766,2.137197,0.9895817,2.3076253
0,0,Classical,Classical,True,0.58892286,0.58892286,0.58892286,0.21352975,0.12346028,0.07408719,-0.15887576,-0.15887576,-0.15887576,-0.15887576,-0.15887576,-0.42631888,-1.3315935,-0.17526746,-0.2610469,0.13083091
0,0,Classical,Classical,True,0.46062118,0.46062118,0.46062118,0.10322801,0.109659724,0.32649118,-1.8182448,-1.8182448,-1.8182448,-1.8182448,-1.8182448,1.4426887,-0.21880205,-0.17526746,0.072822414,-0.49535593
0,0,Classical,Classical,True,0.6217541,0.6217541,0.6217541,0.14416619,0.17342484,0.060654912,-3.477614,-3.477614,-3.477614,-3.477614,-3.477614,-0.3138284,-0.91225356,-0.17526746,-0.49586037,-0.336854
1,2,Mesenchymal,Neural,False,0.4381658,0.4381658,0.26733214,0.17441258,0.4381658,0.120089434,1.5004933,1.5004933,1.5004933,1.5004933,1.5004933,0.305719,0.5055746,-0.17526746,-0.32734716,1.3446219
2,0,Neural,Classical,False,0.49987325,0.49987325,0.49987325,0.20599121,0.085011356,0.20912415,-0.15887576,-0.15887576,-0.15887576,-0.15887576,-0.15887576,-0.49021077,1.2765381,-0.17526746,1.3313439,0.5857419
0,0,Classical,Classical,True,0.7125826,0.7125826,0.7125826,0.1446674,0.07265067,0.0700994,1.5004933,1.5004933,1.5004933,1.5004933,1.5004933,0.61328363,1.0650172,-0.17526746,0.67426074,0.68089515
1,1,Mesenchymal,Mesenchymal,True,0.4916941,0.4916941,0.07507766,0.4916941,0.30707768,0.1261505,-1.8182448,-1.8182448,-1.8182448,-1.8182448,-1.8182448,-0.48256415,0.06328282,-0.17526746,-2.1588924,0.14673325
1,1,Mesenchymal,Mesenchymal,True,0.64875954,0.64875954,0.15029551,0.64875954,0.026094368,0.17485058,1.5004933,1.5004933,1.5004933,1.5004933,1.5004933,-4.3825183,1.36863,-0.17526746,-1.0274466,-3.2050087
3,1,Proneural,Mesenchymal,False,0.39127386,0.39127386,0.1997494,0.39127386,0.2830044,0.12597233,1.5004933,1.5004933,1.5004933,1.5004933,1.5004933,-0.61255693,0.31996694,-0.17526746,0.17779787,2.0568378
0,0,Classical,Classical,True,0.41425076,0.41425076,0.41425076,0.06254182,0.109731846,0.41347548,-0.15887576,-0.15887576,-0.15887576,-0.15887576,-0.15887576,1.0982503,-1.4550661,-0.17526746,-0.88340133,-0.40072402
